location_name,location_id,Year,Month,crime_count,arrest,domestic,weekday,weekend,morning,afternoon,evening,night,holiday_num,num_days,arrest_rate,domestic_rate,morning_rate,afternoon_rate,evening_rate,night_rate,sin_month,cos_month,time_id,crime_pct_change,crime_pct_change_lag1,domestic_rate_lag1,arrest_rate_lag1,morning_rate_lag1,afternoon_rate_lag1,evening_rate_lag1,night_rate_lag1,crime_count_lag1,domestic_lag1,arrest_lag1,morning_lag1,afternoon_lag1,evening_lag1,night_lag1,crime_pct_change_lag2,domestic_rate_lag2,arrest_rate_lag2,morning_rate_lag2,afternoon_rate_lag2,evening_rate_lag2,night_rate_lag2,crime_count_lag2,domestic_lag2,arrest_lag2,morning_lag2,afternoon_lag2,evening_lag2,night_lag2,crime_pct_change_lag3,domestic_rate_lag3,arrest_rate_lag3,morning_rate_lag3,afternoon_rate_lag3,evening_rate_lag3,night_rate_lag3,crime_count_lag3,domestic_lag3,arrest_lag3,morning_lag3,afternoon_lag3,evening_lag3,night_lag3,crime_pct_change_lag6,domestic_rate_lag6,arrest_rate_lag6,morning_rate_lag6,afternoon_rate_lag6,evening_rate_lag6,night_rate_lag6,crime_count_lag6,domestic_lag6,arrest_lag6,morning_lag6,afternoon_lag6,evening_lag6,night_lag6,crime_pct_change_lag12,domestic_rate_lag12,arrest_rate_lag12,morning_rate_lag12,afternoon_rate_lag12,evening_rate_lag12,night_rate_lag12,crime_count_lag12,domestic_lag12,arrest_lag12,morning_lag12,afternoon_lag12,evening_lag12,night_lag12,crime_pct_change_ma3,domestic_rate_ma3,arrest_rate_ma3,morning_rate_ma3,afternoon_rate_ma3,evening_rate_ma3,night_rate_ma3,crime_count_ma3,domestic_ma3,arrest_ma3,morning_ma3,afternoon_ma3,evening_ma3,night_ma3,crime_pct_change_ma6,domestic_rate_ma6,arrest_rate_ma6,morning_rate_ma6,afternoon_rate_ma6,evening_rate_ma6,night_rate_ma6,crime_count_ma6,domestic_ma6,arrest_ma6,morning_ma6,afternoon_ma6,evening_ma6,night_ma6
Abandoned/Condemned Structure,1,2019,1,27,15,0,24,3,16,5,4,2,2,31,0.5555555555555556,0.0,0.5925925925925926,0.18518518518518517,0.14814814814814814,0.07407407407407407,0.0,1.0,24229,0.2272727272727273,0.04761904761904767,0.09090909090909091,0.45454545454545453,0.36363636363636365,0.22727272727272727,0.2727272727272727,0.13636363636363635,22.0,2.0,10.0,8.0,5.0,6.0,3.0,-0.1923076923076923,0.047619047619047616,0.47619047619047616,0.2857142857142857,0.42857142857142855,0.19047619047619047,0.09523809523809523,21.0,1.0,10.0,6.0,9.0,4.0,2.0,-0.1333333333333333,0.038461538461538464,0.4230769230769231,0.3076923076923077,0.3076923076923077,0.19230769230769232,0.19230769230769232,26.0,1.0,11.0,8.0,8.0,5.0,5.0,-0.3529411764705882,0.045454545454545456,0.5,0.3181818181818182,0.2727272727272727,0.2727272727272727,0.13636363636363635,22.0,1.0,11.0,7.0,6.0,6.0,3.0,-0.16666666666666663,0.05,0.35,0.4,0.3,0.2,0.1,20.0,1.0,7.0,8.0,6.0,4.0,2.0,-0.09267399267399264,0.058996558996559,0.45127095127095124,0.31901431901431904,0.3211788211788212,0.2185037185037185,0.14130314130314128,23.0,1.3333333333333333,10.333333333333334,7.333333333333333,7.333333333333333,5.0,3.3333333333333335,-0.042355051652964326,0.058937836357191194,0.4675709595064434,0.29981344820054495,0.3705600850762141,0.18176733660604627,0.14785913011719462,25.333333333333332,1.5,11.833333333333334,7.5,9.666666666666666,4.333333333333333,3.8333333333333335
Air/Bus/Train Terminal,2,2019,1,615,148,11,482,133,125,272,133,85,2,31,0.24065040650406505,0.01788617886178862,0.2032520325203252,0.44227642276422763,0.216260162601626,0.13821138211382114,0.0,1.0,24229,0.021594684385382035,-0.042925278219395846,0.014950166112956811,0.15946843853820597,0.22093023255813954,0.4368770764119601,0.18604651162790697,0.15614617940199335,602.0,9.0,96.0,133.0,263.0,112.0,94.0,-0.017187500000000022,0.017488076311605722,0.17647058823529413,0.24006359300476948,0.48171701112877585,0.14626391096979333,0.13195548489666137,629.0,11.0,111.0,151.0,303.0,92.0,83.0,-0.01538461538461533,0.0265625,0.2109375,0.2125,0.403125,0.2078125,0.1765625,640.0,17.0,135.0,136.0,258.0,133.0,113.0,0.04134762633996947,0.027941176470588237,0.2,0.21323529411764705,0.41911764705882354,0.19705882352941176,0.17058823529411765,680.0,19.0,136.0,145.0,285.0,134.0,116.0,0.09513742071881603,0.03088803088803089,0.2471042471042471,0.20463320463320464,0.4343629343629344,0.20656370656370657,0.15444015444015444,518.0,16.0,128.0,106.0,225.0,107.0,80.0,-0.02516579786800373,0.019666914141520844,0.1822921755911667,0.22449794185430302,0.44057302918024527,0.18004097419923346,0.15488805476621822,623.6666666666666,12.333333333333334,114.0,140.0,274.6666666666667,112.33333333333333,96.66666666666667,-0.012645150026940851,0.022866388191926837,0.18435596433879323,0.22439787322311264,0.4169960559565267,0.19217986367075798,0.16642620714960263,650.5,15.0,120.16666666666667,145.66666666666666,270.8333333333333,125.33333333333333,108.66666666666667
Arena/Stadium/Fairgrounds/Coliseum,4,2019,1,30,3,0,19,11,5,13,9,3,2,31,0.1,0.0,0.16666666666666666,0.43333333333333335,0.3,0.1,0.0,1.0,24229,-0.23076923076923073,-0.04878048780487809,0.10256410256410256,0.23076923076923078,0.07692307692307693,0.4358974358974359,0.3333333333333333,0.15384615384615385,39.0,4.0,9.0,3.0,17.0,13.0,6.0,-0.196078431372549,0.024390243902439025,0.3170731707317073,0.0975609756097561,0.36585365853658536,0.3902439024390244,0.14634146341463414,41.0,1.0,13.0,4.0,15.0,16.0,6.0,0.020000000000000018,0.11764705882352941,0.13725490196078433,0.09803921568627451,0.47058823529411764,0.35294117647058826,0.0784313725490196,51.0,6.0,7.0,5.0,24.0,18.0,4.0,0.6451612903225807,0.0392156862745098,0.19607843137254902,0.17647058823529413,0.27450980392156865,0.5294117647058824,0.0196078431372549,51.0,2.0,10.0,9.0,14.0,27.0,1.0,-0.4,0.1111111111111111,0.16666666666666666,0.0,0.5,0.4444444444444444,0.05555555555555555,18.0,2.0,3.0,0.0,9.0,8.0,1.0,-0.07495297305914235,0.081533801763357,0.22836576782057416,0.09084108940636919,0.4241131099093796,0.3588394707476487,0.12620632993660252,43.666666666666664,3.6666666666666665,9.666666666666666,4.0,18.666666666666668,15.666666666666666,5.333333333333333,0.08285731976248939,0.05514068643193464,0.2374031630129191,0.12636384094059847,0.35285323398666296,0.41423160606804793,0.1065513190046906,44.833333333333336,2.5,10.5,5.666666666666667,15.833333333333334,18.666666666666668,4.666666666666667
ATM Separate from Bank,5,2019,1,25,2,0,21,4,9,6,6,4,2,31,0.08,0.0,0.36,0.24,0.24,0.16,0.0,1.0,24229,-0.038461538461538436,0.8571428571428572,0.0,0.0,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.34615384615384615,26.0,0.0,0.0,5.0,6.0,6.0,9.0,-0.43999999999999995,0.07142857142857142,0.0,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.35714285714285715,14.0,1.0,0.0,4.0,2.0,3.0,5.0,0.04166666666666674,0.04,0.04,0.28,0.24,0.16,0.32,25.0,1.0,1.0,7.0,6.0,4.0,8.0,-0.31034482758620685,0.025,0.0,0.25,0.3,0.225,0.225,40.0,1.0,0.0,10.0,12.0,9.0,9.0,-0.3098591549295775,0.0,0.0,0.30612244897959184,0.1836734693877551,0.14285714285714285,0.3673469387755102,49.0,0.0,0.0,15.0,9.0,7.0,18.0,0.152936507936508,0.03714285714285714,0.013333333333333334,0.25267399267399265,0.20454212454212453,0.2016849816849817,0.3410989010989011,21.666666666666668,0.6666666666666666,0.3333333333333333,5.333333333333333,4.666666666666667,4.333333333333333,7.333333333333333,-0.03434679305368956,0.03031385281385281,0.0173989898989899,0.2911097236097236,0.24002358752358752,0.17053946053946056,0.2983272283272283,28.833333333333332,0.8333333333333334,0.5,8.5,7.5,4.666666666666667,8.166666666666666
Auto Dealership New/Used,6,2019,1,18,1,2,15,3,8,3,4,3,2,31,0.05555555555555555,0.1111111111111111,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.0,1.0,24229,0.3846153846153846,-0.48,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.23076923076923078,13.0,2.0,1.0,3.0,3.0,4.0,3.0,-0.038461538461538436,0.08,0.04,0.4,0.24,0.16,0.2,25.0,2.0,1.0,10.0,6.0,4.0,5.0,-0.1875,0.038461538461538464,0.23076923076923078,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.15384615384615385,26.0,1.0,6.0,8.0,7.0,7.0,4.0,0.21739130434782616,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.25,0.21428571428571427,0.25,28.0,1.0,1.0,8.0,7.0,6.0,7.0,2.3333333333333335,0.1,0.05,0.15,0.2,0.35,0.3,20.0,2.0,1.0,3.0,4.0,7.0,6.0,-0.23532051282051283,0.09076923076923077,0.11589743589743591,0.3128205128205128,0.24666666666666667,0.24564102564102563,0.19487179487179487,21.333333333333332,1.6666666666666667,2.6666666666666665,7.0,5.333333333333333,5.0,4.0,-0.011322552246465242,0.08142958892958892,0.11135480260480261,0.2972006003256003,0.26743055555555556,0.24649776149776148,0.18887108262108263,23.666666666666668,1.8333333333333333,2.5,7.166666666666667,6.333333333333333,5.666666666666667,4.5
Bank/Savings and Loan,7,2019,1,136,28,4,118,18,55,54,10,17,2,31,0.20588235294117646,0.029411764705882353,0.40441176470588236,0.39705882352941174,0.07352941176470588,0.125,0.0,1.0,24229,0.2142857142857142,0.2584269662921348,0.008928571428571428,0.05357142857142857,0.44642857142857145,0.33035714285714285,0.03571428571428571,0.1875,112.0,1.0,6.0,50.0,37.0,4.0,21.0,-0.1523809523809524,0.011235955056179775,0.056179775280898875,0.5842696629213483,0.23595505617977527,0.033707865168539325,0.14606741573033707,89.0,1.0,5.0,52.0,21.0,3.0,13.0,-0.03669724770642202,0.02857142857142857,0.12380952380952381,0.44761904761904764,0.3619047619047619,0.08571428571428572,0.10476190476190476,105.0,3.0,13.0,47.0,38.0,9.0,11.0,0.1832061068702291,0.0,0.11612903225806452,0.3935483870967742,0.34838709677419355,0.15483870967741936,0.1032258064516129,155.0,0.0,18.0,61.0,54.0,24.0,16.0,-0.20138888888888884,0.0,0.09565217391304348,0.3826086956521739,0.3739130434782609,0.13043478260869565,0.11304347826086956,115.0,0.0,11.0,44.0,43.0,15.0,13.0,0.023116255401586794,0.016245318352059925,0.07785357588728375,0.49277242732298915,0.30940565364722666,0.051712145532370246,0.14610977349741397,102.0,1.6666666666666667,8.0,49.666666666666664,32.0,5.333333333333333,15.0,-0.01121124563601352,0.019069785001496434,0.08991527466111969,0.4786885985250951,0.30324733231576223,0.09399953630126183,0.12406453285788084,118.0,2.1666666666666665,10.833333333333334,55.833333333333336,36.333333333333336,11.666666666666666,14.166666666666666
Bar/Nightclub,8,2019,1,255,47,7,125,130,10,43,66,136,2,31,0.1843137254901961,0.027450980392156862,0.0392156862745098,0.16862745098039217,0.25882352941176473,0.5333333333333333,0.0,1.0,24229,0.08974358974358965,0.0,0.038461538461538464,0.15384615384615385,0.04700854700854701,0.13247863247863248,0.34615384615384615,0.47435897435897434,234.0,9.0,36.0,11.0,31.0,81.0,111.0,0.07339449541284404,0.03418803418803419,0.21794871794871795,0.07264957264957266,0.14957264957264957,0.23504273504273504,0.5427350427350427,234.0,8.0,51.0,17.0,35.0,55.0,127.0,-0.0954356846473029,0.05045871559633028,0.22018348623853212,0.045871559633027525,0.0963302752293578,0.3165137614678899,0.5412844036697247,218.0,11.0,48.0,10.0,21.0,69.0,118.0,-0.09716599190283404,0.026905829596412557,0.17488789237668162,0.07174887892376682,0.12556053811659193,0.23318385650224216,0.5695067264573991,223.0,6.0,39.0,16.0,28.0,52.0,127.0,-0.09569377990430628,0.021164021164021163,0.21164021164021163,0.047619047619047616,0.1164021164021164,0.26455026455026454,0.5714285714285714,189.0,4.0,40.0,9.0,22.0,50.0,108.0,-0.007347063078152953,0.04103609608196765,0.19732611934446798,0.055176559763715737,0.12612718576021328,0.29923678088815703,0.519459473587914,228.66666666666666,9.333333333333334,45.0,12.666666666666666,29.0,68.33333333333333,118.66666666666667,-0.0039141956569907115,0.032320298374431324,0.18934962463579208,0.06029068481910474,0.12242336755008636,0.28793595292582075,0.5293499947049881,235.5,7.5,44.5,14.166666666666666,28.833333333333332,67.83333333333333,124.66666666666667
Commercial/Office Building,11,2019,1,157,24,3,119,38,48,55,25,29,2,31,0.15286624203821655,0.01910828025477707,0.3057324840764331,0.3503184713375796,0.1592356687898089,0.18471337579617833,0.0,1.0,24229,-0.17801047120418845,0.13690476190476186,0.015706806282722512,0.11518324607329843,0.42408376963350786,0.2931937172774869,0.1099476439790576,0.17277486910994763,191.0,3.0,22.0,81.0,56.0,21.0,33.0,-0.1428571428571429,0.03571428571428571,0.1130952380952381,0.36904761904761907,0.35714285714285715,0.10714285714285714,0.16666666666666666,168.0,6.0,19.0,62.0,60.0,18.0,28.0,0.45185185185185195,0.04081632653061224,0.08673469387755102,0.3673469387755102,0.29591836734693877,0.17346938775510204,0.16326530612244897,196.0,8.0,17.0,72.0,58.0,34.0,32.0,0.17964071856287434,0.03553299492385787,0.09137055837563451,0.3553299492385787,0.350253807106599,0.1116751269035533,0.18274111675126903,197.0,7.0,18.0,70.0,69.0,22.0,36.0,-0.11728395061728392,0.027972027972027972,0.08391608391608392,0.3916083916083916,0.3076923076923077,0.15384615384615385,0.14685314685314685,143.0,4.0,12.0,56.0,44.0,22.0,21.0,0.1486331569664903,0.030745806175873493,0.10500439268202916,0.38682610915221244,0.3154183139224276,0.13018662962567223,0.16756894729968774,185.0,5.666666666666667,19.333333333333332,71.66666666666667,58.0,24.333333333333332,31.0,0.0547459206376034,0.034338547169449285,0.09671612998333047,0.3780238700557512,0.3411518875605692,0.11709284616203275,0.1637313962216469,182.33333333333334,6.166666666666667,17.333333333333332,68.83333333333333,61.5,21.5,30.5
Construction Site,13,2019,1,23,0,1,23,0,3,15,3,2,2,31,0.0,0.043478260869565216,0.13043478260869565,0.6521739130434783,0.13043478260869565,0.08695652173913043,0.0,1.0,24229,-0.1785714285714286,-0.09677419354838712,0.0,0.07142857142857142,0.32142857142857145,0.35714285714285715,0.21428571428571427,0.10714285714285714,28.0,0.0,2.0,9.0,10.0,6.0,3.0,0.0,0.0,0.03225806451612903,0.12903225806451613,0.6129032258064516,0.1935483870967742,0.06451612903225806,31.0,0.0,1.0,4.0,19.0,6.0,2.0,-0.2790697674418605,0.0,0.0,0.16129032258064516,0.5161290322580645,0.06451612903225806,0.25806451612903225,31.0,0.0,0.0,5.0,16.0,2.0,8.0,0.0,0.0,0.13636363636363635,0.20454545454545456,0.5227272727272727,0.09090909090909091,0.18181818181818182,44.0,0.0,6.0,9.0,23.0,4.0,8.0,-0.06666666666666665,0.0,0.10714285714285714,0.25,0.5357142857142857,0.14285714285714285,0.07142857142857142,28.0,0.0,3.0,7.0,15.0,4.0,2.0,-0.12528132033008255,0.0,0.034562211981566816,0.20391705069124422,0.4953917050691244,0.15745007680491552,0.14324116743471582,30.0,0.0,1.0,6.0,15.0,4.666666666666667,4.333333333333333,-0.06624816377254489,0.0,0.0793217784965722,0.1869907411917915,0.49936117687430515,0.12553030032399873,0.18811778160990464,36.5,0.0,3.1666666666666665,6.666666666666667,18.333333333333332,4.333333333333333,7.166666666666667
Convenience Store,14,2019,1,159,49,1,127,32,45,47,36,31,2,31,0.3081761006289308,0.006289308176100629,0.2830188679245283,0.29559748427672955,0.22641509433962265,0.1949685534591195,0.0,1.0,24229,-0.06470588235294117,0.05590062111801242,0.011764705882352941,0.32941176470588235,0.21176470588235294,0.4235294117647059,0.2411764705882353,0.12352941176470589,170.0,2.0,56.0,36.0,72.0,41.0,21.0,-0.012269938650306789,0.018633540372670808,0.30434782608695654,0.2919254658385093,0.32919254658385094,0.2670807453416149,0.11180124223602485,161.0,3.0,49.0,47.0,53.0,43.0,18.0,-0.06321839080459768,0.0,0.25153374233128833,0.3006134969325153,0.294478527607362,0.2883435582822086,0.1165644171779141,163.0,0.0,41.0,49.0,48.0,47.0,19.0,0.20329670329670324,0.0182648401826484,0.2694063926940639,0.273972602739726,0.3378995433789954,0.2465753424657534,0.1415525114155251,219.0,4.0,59.0,60.0,74.0,54.0,31.0,0.22580645161290325,0.010526315789473684,0.32105263157894737,0.2,0.3684210526315789,0.29473684210526313,0.1368421052631579,190.0,2.0,61.0,38.0,70.0,56.0,26.0,-0.00652923611229735,0.010132748751674582,0.2950977777080424,0.2681012228844592,0.3490668286519729,0.2655335914040196,0.11729835705954827,164.66666666666666,1.6666666666666667,48.666666666666664,44.0,57.666666666666664,43.666666666666664,19.333333333333332,-0.0033047113677971787,0.015712671095656477,0.26922566900978107,0.276360654895678,0.3443925925696711,0.24501263150226502,0.13423412103238594,184.66666666666666,3.0,49.333333333333336,51.333333333333336,63.333333333333336,44.666666666666664,25.333333333333332
