Year,Month,location_id,crime_count,weekday,weekend,morning,afternoon,evening,night,holiday_num,num_days,morning_rate,afternoon_rate,evening_rate,night_rate,sin_month,cos_month,time_id,crime_pct_change
2019,10,1,1,1,0,0,0,0,1,1,31,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,24238,
2020,2,1,1,1,0,1,0,0,0,1,29,1.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,24242,0.0
2021,1,1,8,8,0,1,0,1,6,2,31,0.125,0.0,0.125,0.75,0.0,1.0,24253,7.0
2021,2,1,7,6,1,0,2,4,1,1,28,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.49999999999999994,0.8660254037844387,24254,-0.125
2021,3,1,14,5,9,0,10,3,1,0,31,0.0,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.8660254037844386,0.5000000000000001,24255,1.0
2021,4,1,17,11,6,7,8,0,2,0,30,0.4117647058823529,0.47058823529411764,0.0,0.11764705882352941,1.0,6.123233995736766e-17,24256,0.2142857142857142
2021,5,1,31,17,14,2,9,3,17,1,31,0.06451612903225806,0.2903225806451613,0.0967741935483871,0.5483870967741935,0.8660254037844387,-0.4999999999999998,24257,0.8235294117647058
2021,6,1,18,16,2,10,0,1,7,1,30,0.5555555555555556,0.0,0.05555555555555555,0.3888888888888889,0.49999999999999994,-0.8660254037844387,24258,-0.4193548387096774
2021,7,1,29,24,5,5,8,1,15,1,31,0.1724137931034483,0.27586206896551724,0.034482758620689655,0.5172413793103449,1.2246467991473532e-16,-1.0,24259,0.6111111111111112
2021,8,1,17,10,7,13,2,0,2,0,31,0.7647058823529411,0.11764705882352941,0.0,0.11764705882352941,-0.4999999999999997,-0.8660254037844388,24260,-0.4137931034482759
2021,9,1,11,9,2,5,4,1,1,1,30,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.09090909090909091,-0.8660254037844385,-0.5000000000000004,24261,-0.3529411764705882
2021,10,1,18,14,4,3,9,1,5,1,31,0.16666666666666666,0.5,0.05555555555555555,0.2777777777777778,-1.0,-1.8369701987210297e-16,24262,0.6363636363636365
2021,11,1,10,4,6,4,1,1,4,2,30,0.4,0.1,0.1,0.4,-0.8660254037844386,0.5000000000000001,24263,-0.4444444444444444
2021,12,1,11,7,4,1,5,1,4,2,31,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.36363636363636365,-0.5000000000000004,0.8660254037844384,24264,0.10000000000000009
2022,1,1,11,8,3,3,3,3,2,1,31,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.0,1.0,24265,0.0
2022,2,1,12,7,5,5,4,1,2,1,28,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.49999999999999994,0.8660254037844387,24266,0.09090909090909083
2022,3,1,14,12,2,2,6,1,5,0,31,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.35714285714285715,0.8660254037844386,0.5000000000000001,24267,0.16666666666666674
2022,4,1,19,17,2,4,7,4,4,0,30,0.21052631578947367,0.3684210526315789,0.21052631578947367,0.21052631578947367,1.0,6.123233995736766e-17,24268,0.3571428571428572
2022,5,1,21,15,6,9,9,1,2,1,31,0.42857142857142855,0.42857142857142855,0.047619047619047616,0.09523809523809523,0.8660254037844387,-0.4999999999999998,24269,0.10526315789473695
2022,6,1,10,7,3,3,3,0,4,1,30,0.3,0.3,0.0,0.4,0.49999999999999994,-0.8660254037844387,24270,-0.5238095238095238
2022,7,1,20,16,4,7,4,3,6,1,31,0.35,0.2,0.15,0.3,1.2246467991473532e-16,-1.0,24271,1.0
2022,8,1,13,10,3,3,5,2,3,0,31,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.23076923076923078,-0.4999999999999997,-0.8660254037844388,24272,-0.35
2022,9,1,18,10,8,8,4,1,5,1,30,0.4444444444444444,0.2222222222222222,0.05555555555555555,0.2777777777777778,-0.8660254037844385,-0.5000000000000004,24273,0.3846153846153846
2022,10,1,25,21,4,0,11,1,13,1,31,0.0,0.44,0.04,0.52,-1.0,-1.8369701987210297e-16,24274,0.38888888888888884
2022,11,1,11,8,3,1,6,2,2,2,30,0.09090909090909091,0.5454545454545454,0.18181818181818182,0.18181818181818182,-0.8660254037844386,0.5000000000000001,24275,-0.56
2022,12,1,13,10,3,3,5,4,1,1,31,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.07692307692307693,-0.5000000000000004,0.8660254037844384,24276,0.18181818181818188
2023,1,1,25,19,6,9,6,1,9,2,31,0.36,0.24,0.04,0.36,0.0,1.0,24277,0.9230769230769231
2023,2,1,13,9,4,6,5,1,1,1,28,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.49999999999999994,0.8660254037844387,24278,-0.48
2023,3,1,19,14,5,8,6,2,3,0,31,0.42105263157894735,0.3157894736842105,0.10526315789473684,0.15789473684210525,0.8660254037844386,0.5000000000000001,24279,0.46153846153846145
2023,4,1,18,10,8,4,5,2,7,0,30,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.3888888888888889,1.0,6.123233995736766e-17,24280,-0.052631578947368474
2023,5,1,13,8,5,7,2,3,1,1,31,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.8660254037844387,-0.4999999999999998,24281,-0.2777777777777778
2023,6,1,14,11,3,5,4,2,3,1,30,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.49999999999999994,-0.8660254037844387,24282,0.07692307692307687
2023,7,1,12,10,2,2,2,3,5,1,31,0.16666666666666666,0.16666666666666666,0.25,0.4166666666666667,1.2246467991473532e-16,-1.0,24283,-0.1428571428571429
2023,8,1,11,9,2,2,3,2,4,0,31,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.36363636363636365,-0.4999999999999997,-0.8660254037844388,24284,-0.08333333333333337
2023,9,1,15,11,4,5,8,1,1,1,30,0.3333333333333333,0.5333333333333333,0.06666666666666667,0.06666666666666667,-0.8660254037844385,-0.5000000000000004,24285,0.36363636363636354
2023,10,1,16,15,1,2,6,2,6,1,31,0.125,0.375,0.125,0.375,-1.0,-1.8369701987210297e-16,24286,0.06666666666666665
2023,11,1,12,9,3,3,2,5,2,2,30,0.25,0.16666666666666666,0.4166666666666667,0.16666666666666666,-0.8660254037844386,0.5000000000000001,24287,-0.25
2023,12,1,23,14,9,7,12,2,2,1,31,0.30434782608695654,0.5217391304347826,0.08695652173913043,0.08695652173913043,-0.5000000000000004,0.8660254037844384,24288,0.9166666666666667
2018,1,2,9,8,1,2,7,0,0,2,31,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,1.0,24217,-0.6086956521739131
2018,2,2,7,7,0,0,7,0,0,1,28,0.0,1.0,0.0,0.0,0.49999999999999994,0.8660254037844387,24218,-0.2222222222222222
2018,3,2,1,1,0,0,1,0,0,0,31,0.0,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001,24219,-0.8571428571428572
2018,4,2,3,3,0,2,0,0,1,0,30,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,6.123233995736766e-17,24220,2.0
2018,5,2,2,1,1,2,0,0,0,1,31,1.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,24221,-0.33333333333333337
2018,6,2,6,5,1,3,2,0,1,0,30,0.5,0.3333333333333333,0.0,0.16666666666666666,0.49999999999999994,-0.8660254037844387,24222,2.0
2018,7,2,4,2,2,4,0,0,0,0,31,1.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,24223,-0.33333333333333337
2018,8,2,9,6,3,3,4,1,1,0,31,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111,-0.4999999999999997,-0.8660254037844388,24224,1.25
2018,9,2,2,1,1,1,1,0,0,0,30,0.5,0.5,0.0,0.0,-0.8660254037844385,-0.5000000000000004,24225,-0.7777777777777778
2018,10,2,5,5,0,4,1,0,0,1,31,0.8,0.2,0.0,0.0,-1.0,-1.8369701987210297e-16,24226,1.5
2018,11,2,6,5,1,5,1,0,0,2,30,0.8333333333333334,0.16666666666666666,0.0,0.0,-0.8660254037844386,0.5000000000000001,24227,0.19999999999999996
2018,12,2,5,5,0,5,0,0,0,1,31,1.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,24228,-0.16666666666666663
2019,1,2,9,8,1,7,2,0,0,2,31,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,1.0,24229,0.8
2019,2,2,6,5,1,4,2,0,0,1,28,0.6666666666666666,0.3333333333333333,0.0,0.0,0.49999999999999994,0.8660254037844387,24230,-0.33333333333333337
2019,3,2,9,9,0,4,5,0,0,0,31,0.4444444444444444,0.5555555555555556,0.0,0.0,0.8660254037844386,0.5000000000000001,24231,0.5
2019,4,2,10,9,1,4,5,1,0,0,30,0.4,0.5,0.1,0.0,1.0,6.123233995736766e-17,24232,0.11111111111111116
2019,5,2,5,5,0,1,2,0,2,1,31,0.2,0.4,0.0,0.4,0.8660254037844387,-0.4999999999999998,24233,-0.5
2019,6,2,7,6,1,4,3,0,0,0,30,0.5714285714285714,0.42857142857142855,0.0,0.0,0.49999999999999994,-0.8660254037844387,24234,0.3999999999999999
2019,7,2,20,15,5,9,8,0,3,1,31,0.45,0.4,0.0,0.15,1.2246467991473532e-16,-1.0,24235,1.8571428571428572
2019,8,2,8,8,0,5,1,0,2,0,31,0.625,0.125,0.0,0.25,-0.4999999999999997,-0.8660254037844388,24236,-0.6
2019,9,2,6,5,1,2,1,0,3,1,30,0.3333333333333333,0.16666666666666666,0.0,0.5,-0.8660254037844385,-0.5000000000000004,24237,-0.25
2019,10,2,16,14,2,10,5,1,0,1,31,0.625,0.3125,0.0625,0.0,-1.0,-1.8369701987210297e-16,24238,1.6666666666666665
2019,11,2,7,6,1,5,1,0,1,2,30,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,-0.8660254037844386,0.5000000000000001,24239,-0.5625
2019,12,2,9,7,2,4,3,0,2,1,31,0.4444444444444444,0.3333333333333333,0.0,0.2222222222222222,-0.5000000000000004,0.8660254037844384,24240,0.2857142857142858
2020,1,2,26,21,5,7,6,2,11,2,31,0.2692307692307692,0.23076923076923078,0.07692307692307693,0.4230769230769231,0.0,1.0,24241,1.8888888888888888
2020,2,2,28,28,0,7,10,0,11,1,29,0.25,0.35714285714285715,0.0,0.39285714285714285,0.49999999999999994,0.8660254037844387,24242,0.07692307692307687
2020,3,2,14,13,1,4,2,0,8,0,31,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,0.8660254037844386,0.5000000000000001,24243,-0.5
2020,4,2,13,12,1,2,5,0,6,0,30,0.15384615384615385,0.38461538461538464,0.0,0.46153846153846156,1.0,6.123233995736766e-17,24244,-0.0714285714285714
2020,5,2,12,10,2,6,5,0,1,1,31,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8660254037844387,-0.4999999999999998,24245,-0.07692307692307687
2020,6,2,8,7,1,7,0,0,1,0,30,0.875,0.0,0.0,0.125,0.49999999999999994,-0.8660254037844387,24246,-0.33333333333333337
2020,7,2,2,2,0,1,1,0,0,1,31,0.5,0.5,0.0,0.0,1.2246467991473532e-16,-1.0,24247,-0.75
2020,8,2,4,2,2,3,0,0,1,0,31,0.75,0.0,0.0,0.25,-0.4999999999999997,-0.8660254037844388,24248,1.0
2020,9,2,6,5,1,4,0,0,2,1,30,0.6666666666666666,0.0,0.0,0.3333333333333333,-0.8660254037844385,-0.5000000000000004,24249,0.5
2020,10,2,3,2,1,1,1,0,1,1,31,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-1.0,-1.8369701987210297e-16,24250,-0.5
2020,11,2,4,3,1,3,0,0,1,1,30,0.75,0.0,0.0,0.25,-0.8660254037844386,0.5000000000000001,24251,0.33333333333333326
2020,12,2,10,10,0,6,4,0,0,1,31,0.6,0.4,0.0,0.0,-0.5000000000000004,0.8660254037844384,24252,1.5
2021,1,2,7,6,1,0,3,1,3,2,31,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,1.0,24253,-0.30000000000000004
2021,2,2,16,9,7,2,10,2,2,1,28,0.125,0.625,0.125,0.125,0.49999999999999994,0.8660254037844387,24254,1.2857142857142856
2021,3,2,16,12,4,3,9,2,2,0,31,0.1875,0.5625,0.125,0.125,0.8660254037844386,0.5000000000000001,24255,0.0
2021,4,2,32,19,13,17,8,7,0,0,30,0.53125,0.25,0.21875,0.0,1.0,6.123233995736766e-17,24256,1.0
2021,5,2,17,14,3,1,15,0,1,1,31,0.058823529411764705,0.8823529411764706,0.0,0.058823529411764705,0.8660254037844387,-0.4999999999999998,24257,-0.46875
2021,6,2,4,4,0,2,2,0,0,1,30,0.5,0.5,0.0,0.0,0.49999999999999994,-0.8660254037844387,24258,-0.7647058823529411
2021,7,2,5,5,0,1,3,0,1,1,31,0.2,0.6,0.0,0.2,1.2246467991473532e-16,-1.0,24259,0.25
2021,8,2,14,14,0,5,6,2,1,0,31,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.07142857142857142,-0.4999999999999997,-0.8660254037844388,24260,1.7999999999999998
2021,9,2,13,11,2,2,8,3,0,1,30,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.0,-0.8660254037844385,-0.5000000000000004,24261,-0.0714285714285714
2021,10,2,12,10,2,2,7,2,1,1,31,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.08333333333333333,-1.0,-1.8369701987210297e-16,24262,-0.07692307692307687
2021,11,2,6,6,0,0,5,0,1,2,30,0.0,0.8333333333333334,0.0,0.16666666666666666,-0.8660254037844386,0.5000000000000001,24263,-0.5
2021,12,2,10,9,1,1,4,1,4,2,31,0.1,0.4,0.1,0.4,-0.5000000000000004,0.8660254037844384,24264,0.6666666666666667
2022,1,2,14,12,2,7,4,2,1,1,31,0.5,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.0,1.0,24265,0.3999999999999999
2022,2,2,26,23,3,7,12,0,7,1,28,0.2692307692307692,0.46153846153846156,0.0,0.2692307692307692,0.49999999999999994,0.8660254037844387,24266,0.8571428571428572
